index,before_pt,after_pt,before_area,after_area
0,29,10,3569,3533,1.008686
0,107,25,13686,13669,0.124215
0,122,25,13838,13832,0.043359
0,140,25,14174,13981,1.361648
0,120,25,14081,13939,1.008451
0,78,20,14363,14368,0.034812
0,40,11,1996,1947,2.454910
1,61,19,16448,16352,0.583658
1,86,23,15810,15743,0.423782
1,126,27,16300,16161,0.852761
1,52,22,13510,13400,0.814212
1,63,22,16288,16151,0.841110
1,135,30,15898,16147,1.566235
2,93,23,7055,7034,0.297661
2,119,27,16278,16296,0.110579
2,105,30,16358,16405,0.287321
2,92,29,14218,14267,0.344634
2,80,26,16372,16299,0.445883
2,73,26,16584,16387,1.187892
2,33,14,14466,14588,0.843357
3,1,1,47749,47745,0.008377
3,1,1,32061,31720,1.063598
3,8,4,20,12,40.000000
3,87,45,26,9,65.384613
3,1,1,13,7,46.153847
3,29,12,1,1,0.000000
3,12,8,1,1,0.000000
3,2,2,1,1,0.000000
3,9,5,35,26,25.714285
3,261,122,5,5,0.000000
3,1,1,1,1,0.000000
3,10,7,15,10,33.333332
3,7,5,1,1,0.000000
3,9,2,1673,1607,3.945009
3,18,8,32,3,90.625000
3,1,1,33834,33797,0.109357
3,3,2,70,50,28.571428
3,1,1,3,3,0.000000
3,2,2,123,118,4.065041
3,7,4,374,358,4.278075
3,1,1,1668,1646,1.318945
3,1,1,46,28,39.130436
3,1,1,1,1,0.000000
3,4,3,1,1,0.000000
3,7,3,0,0,0.000000
3,5,3,0,0,0.000000
3,295,143,0,0,0.000000
3,1,1,0,0,0.000000
3,1,1,0,0,0.000000
3,4,3,0,0,0.000000
3,4,3,0,0,0.000000
3,1,1,0,0,0.000000
3,2,2,0,0,0.000000
3,2,2,0,0,0.000000
3,17,7,0,0,0.000000
3,1,1,0,0,0.000000
3,2,2,0,0,0.000000
3,189,65,0,0,0.000000
3,10,6,0,0,0.000000
3,3,2,0,0,0.000000
3,2,2,0,0,0.000000
3,2,2,0,0,0.000000
3,2,2,0,0,0.000000
3,2,2,0,0,0.000000
3,1,1,0,0,0.000000
3,1,1,0,0,0.000000
3,15,10,0,0,0.000000
3,2,2,0,0,0.000000
3,1,1,0,0,0.000000
3,1,1,0,0,0.000000
3,7,4,0,0,0.000000
3,4,3,0,0,0.000000
3,4,3,0,0,0.000000
3,1,1,0,0,0.000000
3,7,5,0,0,0.000000
3,29,13,0,0,0.000000
4,48,13,9546,9549,0.031427
4,93,16,96,88,8.333333
4,96,25,9760,9653,1.096311
4,96,20,9975,9973,0.020050
4,96,20,9152,9000,1.660839
4,7,4,9708,9747,0.401731
4,98,18,5222,5235,0.248947
5,16,5,4547,4507,0.879701
5,96,16,8049,8112,0.782706
5,1,1,29056,28931,0.430204
5,2,2,8604,8632,0.325430
5,2,2,8667,8676,0.103842
5,1,1,29270,29327,0.194739
5,17,9,7913,7917,0.050550
5,87,16,365,363,0.547945
5,209,77,3,3,0.000000
5,1,1,5,5,0.000000
5,94,20,8796,8763,0.375171
5,96,16,405,414,2.222222
5,141,45,0,0,0.000000
5,1,1,0,0,0.000000
5,2,2,0,0,0.000000
5,86,18,0,0,0.000000
5,48,12,0,0,0.000000
6,2,2,18803,18589,1.138116
6,3,2,12,4,66.666664
6,95,49,3,3,0.000000
6,2,2,0,0,0.000000
6,2,2,0,0,0.000000
6,1,1,0,0,0.000000
6,3,2,0,0,0.000000
7,7,4,441,427,3.174603
7,2,2,4,4,0.000000
7,42,15,5004,5004,0.000000
7,3,2,18182,18166,0.087999
7,74,30,4283,4240,1.003969
7,140,26,6,3,50.000000
7,63,21,4524,4654,2.873563
7,2,2,3,3,0.000000
7,12,5,80,30,62.500000
8,2,2,16578,16450,0.772108
8,143,27,16113,16004,0.676472
8,108,25,16323,16243,0.490106
8,81,26,15028,15020,0.053234
8,142,23,4,4,0.000000
9,97,14,2790,2750,1.433692
9,163,29,17782,17725,0.320549
9,152,34,16780,16521,1.543504
9,156,30,17762,17664,0.551740
9,143,29,18176,18179,0.016505
