file,index,before_pt,after_pt,before_area,after_area
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0001(iou_0.00).bmp,0,1397,94,75707,75895,24365967945498624.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0002(iou_0.00).bmp,1,902,112,94254,92728,1.619029
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0003(iou_0.00).bmp,2,1019,157,101331,99948,1.364834
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0004(iou_0.00).bmp,3,2158,512,117754,117570,0.156258
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0005(iou_0.00).bmp,4,1141,102,53459,53084,0.701472
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0006(iou_0.00).bmp,5,2005,221,105680,105332,0.329296
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0007(iou_0.00).bmp,6,226,52,18818,18435,2.035285
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0008(iou_0.00).bmp,7,632,94,32527,31958,1.749316
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0009(iou_0.00).bmp,8,851,75,64046,64630,28802336302301184.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0010(iou_0.00).bmp,9,1636,145,100117,98088,2.026629
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0011(iou_0.00).bmp,10,2121,448,112833,112258,0.509603
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0012(iou_0.00).bmp,11,279,30,14450,14349,0.698962
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0013(iou_0.00).bmp,12,640,112,31897,31734,0.511020
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0014(iou_0.00).bmp,13,1909,176,102960,102493,0.453574
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0015(iou_0.00).bmp,14,1144,216,83027,82675,0.423958
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0016(iou_0.00).bmp,15,2160,183,100661,100642,0.018875
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0017(iou_0.00).bmp,16,1318,249,62072,61875,0.317373
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0019(iou_0.00).bmp,17,2117,144,96443,95694,0.776625
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0020(iou_0.00).bmp,18,2805,678,137023,136848,0.127716
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0021(iou_0.00).bmp,19,931,86,61756,61567,0.306043
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0022(iou_0.00).bmp,20,189,26,13287,13185,0.767668
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0023(iou_0.00).bmp,21,43,7,3518,3504,0.397953
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0024(iou_0.00).bmp,22,692,87,68546,67663,1.288186
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0025(iou_0.00).bmp,23,1066,78,64096,64210,28779867180892160.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0026(iou_0.00).bmp,24,1045,60,52328,51909,0.800719
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0027(iou_0.00).bmp,25,101,13,17564,17441,0.700296
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0028(iou_0.00).bmp,26,405,62,28404,27965,1.545557
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0029(iou_0.00).bmp,27,745,101,83533,83542,22083182090256384.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0030(iou_0.00).bmp,28,541,58,27075,27271,68132019699187712.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0031(iou_0.00).bmp,29,666,76,60096,60062,0.056576
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0032(iou_0.00).bmp,30,206,33,34334,34336,53727339338530816.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0033(iou_0.00).bmp,31,2286,154,97652,97789,18890288370024448.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0034(iou_0.00).bmp,32,1361,264,72951,72903,0.065798
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0035(iou_0.00).bmp,33,852,93,52543,52234,0.588090
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0036(iou_0.00).bmp,34,378,89,18226,18204,0.120707
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0037(iou_0.00).bmp,35,18,6,24,16,33.333332
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0038(iou_0.00).bmp,36,118,39,1315,1302,0.988593
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0039(iou_0.00).bmp,37,80,18,1420,1370,3.521127
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0040(iou_0.00).bmp,38,479,80,50197,49977,0.438273
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0041(iou_0.00).bmp,39,1229,125,59511,59386,0.210045
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0042(iou_0.00).bmp,40,760,88,59365,59656,31073433404047360.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0043(iou_0.00).bmp,41,1856,157,78573,78266,0.390719
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0044(iou_0.00).bmp,42,1923,166,96477,95794,0.707941
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0045(iou_0.00).bmp,43,982,161,97153,96512,0.659784
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0046(iou_0.00).bmp,44,2137,152,97918,96907,1.032497
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0047(iou_0.00).bmp,45,1952,170,112892,112673,0.193991
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0048(iou_0.00).bmp,46,1281,149,99712,98382,1.333841
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0049(iou_0.00).bmp,47,214,17,23515,23350,0.701680
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0050(iou_0.00).bmp,48,78,12,5164,5149,0.290473
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0051(iou_0.00).bmp,49,1762,150,90887,90251,0.699770
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0052(iou_0.00).bmp,50,207,28,14639,14587,0.355216
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0053(iou_0.00).bmp,51,1744,136,98035,99074,18816487946977280.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0054(iou_0.00).bmp,52,1862,395,100674,100681,18323245312770048.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0055(iou_0.00).bmp,53,935,77,57611,57637,32019481555369984.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0056(iou_0.00).bmp,54,997,121,53770,53706,0.119025
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0057(iou_0.00).bmp,55,1806,443,77269,76878,0.506024
