file,index,original_capa,reduced_capa,증감율,,,평균 용량(byte),,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0001(iou_0.00).bmp,0,11176,752,0.932712956,,,8871.197187,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0002(iou_0.00).bmp,1,7216,896,0.875831486,,,평균 용량(byte),,,용량 증감율
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0003(iou_0.00).bmp,2,8152,1256,0.84592738,,,1046.837977,,,0.881995862
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0004(iou_0.00).bmp,3,17264,4096,0.762743281,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0005(iou_0.00).bmp,4,9128,816,0.910604733,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0006(iou_0.00).bmp,5,16040,1768,0.889775561,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0007(iou_0.00).bmp,6,1808,416,0.769911504,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0008(iou_0.00).bmp,7,5056,752,0.851265823,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0009(iou_0.00).bmp,8,6808,600,0.91186839,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0010(iou_0.00).bmp,9,13088,1160,0.911369193,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0011(iou_0.00).bmp,10,16968,3584,0.788778878,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0012(iou_0.00).bmp,11,2232,240,0.892473118,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0013(iou_0.00).bmp,12,5120,896,0.825,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0014(iou_0.00).bmp,13,15272,1408,0.907805134,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0015(iou_0.00).bmp,14,9152,1728,0.811188811,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0016(iou_0.00).bmp,15,17280,1464,0.915277778,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0017(iou_0.00).bmp,16,10544,1992,0.81107739,,,,,,
