file,index,before_pt,after_pt,before_area,after_area
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0001(iou_0.00).bmp,0,636,141,75707,75269,0.578546
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0002(iou_0.00).bmp,1,523,143,94254,93954,0.318289
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0003(iou_0.00).bmp,2,595,175,101331,101276,0.054278
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0004(iou_0.00).bmp,3,1102,538,117754,117151,0.512085
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0005(iou_0.00).bmp,4,534,116,53459,53245,0.400307
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0006(iou_0.00).bmp,5,900,244,105680,105650,0.028388
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0007(iou_0.00).bmp,6,108,60,18818,18596,1.179722
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0008(iou_0.00).bmp,7,345,107,32527,32531,56712096796114944.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0009(iou_0.00).bmp,8,476,103,64046,63721,0.507448
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0010(iou_0.00).bmp,9,893,175,100117,99457,0.659229
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0011(iou_0.00).bmp,10,1134,482,112833,112448,0.341212
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0012(iou_0.00).bmp,11,152,41,14450,14386,0.442907
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0013(iou_0.00).bmp,12,340,124,31897,31835,0.194376
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0014(iou_0.00).bmp,13,920,192,102960,102468,0.477855
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0015(iou_0.00).bmp,14,592,233,83027,82548,0.576921
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0016(iou_0.00).bmp,15,969,196,100661,100078,0.579172
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0017(iou_0.00).bmp,16,658,254,62072,61487,0.942454
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0019(iou_0.00).bmp,17,735,176,96443,95752,0.716485
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0020(iou_0.00).bmp,18,1467,731,137023,136645,0.275866
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0021(iou_0.00).bmp,19,418,95,61756,61543,0.344906
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0022(iou_0.00).bmp,20,98,28,13287,13247,0.301046
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0023(iou_0.00).bmp,21,21,6,3518,3503,0.426379
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0024(iou_0.00).bmp,22,406,114,68546,68383,0.237797
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0025(iou_0.00).bmp,23,527,129,64096,63548,0.854968
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0026(iou_0.00).bmp,24,426,96,52328,52111,0.414692
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0027(iou_0.00).bmp,25,60,17,17564,17589,105025874671173632.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0028(iou_0.00).bmp,26,225,65,28404,28324,0.281650
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0029(iou_0.00).bmp,27,398,123,83533,83379,0.184358
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0030(iou_0.00).bmp,28,267,73,27075,27058,0.062789
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0031(iou_0.00).bmp,29,310,83,60096,59777,0.530817
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0032(iou_0.00).bmp,30,110,34,34334,34262,0.209705
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0033(iou_0.00).bmp,31,847,179,97652,97100,0.565273
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0034(iou_0.00).bmp,32,641,287,72951,72733,0.298831
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0035(iou_0.00).bmp,33,397,98,52543,52144,0.759378
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0036(iou_0.00).bmp,34,207,94,18226,18112,0.625480
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0037(iou_0.00).bmp,35,9,6,24,16,33.333332
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0038(iou_0.00).bmp,36,67,41,1315,1281,2.585551
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0039(iou_0.00).bmp,37,40,18,1420,1290,9.154929
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0040(iou_0.00).bmp,38,237,86,50197,49913,0.565771
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0041(iou_0.00).bmp,39,541,128,59511,59123,0.651980
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0042(iou_0.00).bmp,40,396,110,59365,59069,0.498610
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0043(iou_0.00).bmp,41,711,170,78573,78180,0.500172
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0044(iou_0.00).bmp,42,908,201,96477,95783,0.719342
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0045(iou_0.00).bmp,43,565,173,97153,96915,0.244974
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0046(iou_0.00).bmp,44,932,200,97918,97077,0.858882
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0047(iou_0.00).bmp,45,826,209,112892,111980,0.807852
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0048(iou_0.00).bmp,46,693,176,99712,99574,0.138399
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0049(iou_0.00).bmp,47,109,29,23515,23493,0.093557
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0050(iou_0.00).bmp,48,41,11,5164,5059,2.033308
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0051(iou_0.00).bmp,49,764,157,90887,90225,0.728377
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0052(iou_0.00).bmp,50,107,35,14639,14601,0.259581
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0053(iou_0.00).bmp,51,909,201,98035,97962,0.074463
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0054(iou_0.00).bmp,52,971,407,100674,100229,0.442021
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0055(iou_0.00).bmp,53,369,85,57611,57406,0.355835
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0056(iou_0.00).bmp,54,434,141,53770,53409,0.671378
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0057(iou_0.00).bmp,55,939,452,77269,76833,0.564263
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0058(iou_0.00).bmp,56,907,201,112620,112381,0.212218
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0059(iou_0.00).bmp,57,434,124,72077,71341,1.021130
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0060(iou_0.00).bmp,58,248,65,29586,29491,0.321098
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0061(iou_0.00).bmp,59,514,117,54760,54380,0.693937
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0062(iou_0.00).bmp,60,323,69,41211,40948,0.638179
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0063(iou_0.00).bmp,61,480,180,99856,99110,0.747076
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0064(iou_0.00).bmp,62,1282,651,138898,138314,0.420452
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0065(iou_0.00).bmp,63,438,115,50458,50241,0.430061
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0066(iou_0.00).bmp,64,934,352,114005,113360,0.565765
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0067(iou_0.00).bmp,65,671,292,65819,65669,0.227898
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0068(iou_0.00).bmp,66,1078,218,115595,115427,0.145335
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0069(iou_0.00).bmp,67,875,179,95635,95349,0.299054
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0070(iou_0.00).bmp,68,111,34,20356,20196,0.786009
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0071(iou_0.00).bmp,69,633,146,73424,73320,0.141643
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0072(iou_0.00).bmp,70,521,152,92797,92399,0.428893
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0073(iou_0.00).bmp,71,622,186,99464,99205,0.260396
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0074(iou_0.00).bmp,72,1235,620,91729,91103,0.682445
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0075(iou_0.00).bmp,73,529,111,51154,50810,0.672479
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0076(iou_0.00).bmp,74,901,332,71487,71085,0.562340
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0077(iou_0.00).bmp,75,152,66,20246,20290,91113032490418176.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0078(iou_0.00).bmp,76,295,79,34242,33982,0.759301
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0079(iou_0.00).bmp,77,487,112,64080,63494,0.914482
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0080(iou_0.00).bmp,78,877,188,98628,97833,0.806059
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0081(iou_0.00).bmp,79,1387,616,99727,98998,0.730996
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0082(iou_0.00).bmp,80,151,37,14546,14288,1.773683
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0083(iou_0.00).bmp,81,501,216,27722,27533,0.681769
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0084(iou_0.00).bmp,82,946,203,103220,102574,0.625848
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0085(iou_0.00).bmp,83,599,303,33689,33538,0.448218
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0086(iou_0.00).bmp,84,975,190,100751,100549,0.200494
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0087(iou_0.00).bmp,85,611,241,69188,68852,0.485633
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0088(iou_0.00).bmp,86,10,5,232,220,5.172414
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0089(iou_0.00).bmp,87,770,185,95567,94914,0.683290
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0090(iou_0.00).bmp,88,1095,482,140199,139751,0.319546
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0091(iou_0.00).bmp,89,418,95,60987,60937,0.081985
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0092(iou_0.00).bmp,90,89,25,13042,12891,1.157798
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0093(iou_0.00).bmp,91,21,6,3155,3161,584682831536455680.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0094(iou_0.00).bmp,92,384,120,66142,65828,0.474736
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0095(iou_0.00).bmp,93,509,112,61775,61743,0.051801
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0096(iou_0.00).bmp,94,423,96,51578,51419,0.308271
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0097(iou_0.00).bmp,95,55,19,16859,16836,0.136426
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0098(iou_0.00).bmp,96,220,66,30345,29836,1.677377
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0099(iou_0.00).bmp,97,390,120,83960,83476,0.576465
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0100(iou_0.00).bmp,98,268,78,28993,28837,0.538061
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0101(iou_0.00).bmp,99,375,117,59068,58890,0.301348
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0102(iou_0.00).bmp,100,129,59,33876,33793,0.245011
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0103(iou_0.00).bmp,101,885,199,97335,96826,0.522936
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0104(iou_0.00).bmp,102,845,383,66900,66350,0.822123
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0105(iou_0.00).bmp,103,491,144,48840,48678,0.331695
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0106(iou_0.00).bmp,104,217,101,23792,23746,0.193342
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0107(iou_0.00).bmp,105,334,161,8343,8107,2.828719
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0108(iou_0.00).bmp,106,91,46,873,802,8.132875
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0109(iou_0.00).bmp,107,43,21,797,808,2314522554003357696.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0110(iou_0.00).bmp,108,253,105,43916,43556,0.819747
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0111(iou_0.00).bmp,109,552,127,59552,59317,0.394613
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0112(iou_0.00).bmp,110,357,97,59488,59491,31009184988266496.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0113(iou_0.00).bmp,111,701,167,78947,78486,0.583936
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0114(iou_0.00).bmp,112,897,204,95302,95060,0.253930
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0115(iou_0.00).bmp,113,561,184,98026,97718,0.314202
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0116(iou_0.00).bmp,114,910,202,96843,96600,0.250922
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0117(iou_0.00).bmp,115,775,195,113491,112909,0.512816
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0118(iou_0.00).bmp,116,660,171,97895,97587,0.314623
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0119(iou_0.00).bmp,117,113,35,24282,24283,75968797416095744.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0120(iou_0.00).bmp,118,98,27,15535,15429,0.682330
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0121(iou_0.00).bmp,119,366,98,53137,53178,34715441117003776.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0122(iou_0.00).bmp,120,704,288,68795,68809,26814075681898496.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0123(iou_0.00).bmp,121,920,196,110246,110068,0.161457
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0124(iou_0.00).bmp,122,435,111,72599,72138,0.634995
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0125(iou_0.00).bmp,123,274,68,30182,29983,0.659333
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0126(iou_0.00).bmp,124,559,157,56112,55753,0.639792
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0127(iou_0.00).bmp,125,332,71,41259,41118,0.341744
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0128(iou_0.00).bmp,126,495,185,97596,96717,0.900652
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0129(iou_0.00).bmp,127,1041,504,140714,140467,0.175533
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0130(iou_0.00).bmp,128,423,88,48792,48576,0.442696
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0131(iou_0.00).bmp,129,963,361,92249,91827,0.457458
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0132(iou_0.00).bmp,130,599,219,75436,75040,0.524948
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0133(iou_0.00).bmp,131,1141,255,110160,110094,0.059913
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0134(iou_0.00).bmp,132,874,175,95079,94634,0.468032
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0135(iou_0.00).bmp,133,117,31,21048,20970,0.370582
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0136(iou_0.00).bmp,134,622,135,73824,73207,0.835772
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0137(iou_0.00).bmp,135,513,141,93066,92629,0.469559
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0138(iou_0.00).bmp,136,591,174,100182,99909,0.272504
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0139(iou_0.00).bmp,137,1050,484,131866,131629,0.179728
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0140(iou_0.00).bmp,138,512,108,51885,51313,1.102438
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0141(iou_0.00).bmp,139,949,332,92494,92535,19943719293681664.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0142(iou_0.00).bmp,140,125,67,7461,7442,0.254658
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0143(iou_0.00).bmp,141,314,82,34726,34386,0.979093
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0144(iou_0.00).bmp,142,476,111,63873,63675,0.309990
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0145(iou_0.00).bmp,143,878,194,98617,98013,0.612470
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0146(iou_0.00).bmp,144,824,305,103430,103015,0.401238
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0147(iou_0.00).bmp,145,160,40,14656,14592,0.436681
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0148(iou_0.00).bmp,146,289,101,19709,19472,1.202496
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0149(iou_0.00).bmp,147,968,204,103341,102904,0.422872
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0150(iou_0.00).bmp,148,822,359,77264,77035,0.296386
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0151(iou_0.00).bmp,149,961,208,99677,99188,0.490585
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0152(iou_0.00).bmp,150,661,259,66160,65158,1.514510
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0153(iou_0.00).bmp,151,8,6,42,38,9.523809
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0154(iou_0.00).bmp,152,758,182,96155,95567,0.611513
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0155(iou_0.00).bmp,153,921,436,104470,103663,0.772471
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0156(iou_0.00).bmp,154,406,95,60901,60769,0.216745
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0157(iou_0.00).bmp,155,97,27,13110,13048,0.472921
